TJQKJJ,1311,7.0,"11, 27, 29, 32, 57, 68, 81"
TJQKJK,1212,10.0,"12, 31, 36, 55, 76, 78, 82, 93, 94, 99"
TJQKQJ,1221,9.0,"16, 23, 29, 59, 64, 67, 68, 82, 83"
TJQKQK,1122,6.0,"32, 42, 44, 56, 71, 74"
TJQKKJ,1212,5.0,"36, 55, 63, 88, 97"
TJQKKK,1113,7.0,"14, 34, 35, 37, 85, 92, 98"
TJKTTJ,3201,4.0,"33, 38, 74, 93"
TJKTTK,3102,6.0,"22, 33, 64, 67, 85, 99"
TJKTJJ,2301,4.0,"19, 31, 67, 68"
TJKTJK,2202,7.0,"12, 51, 77, 83, 87, 96, 99"
TJKTQJ,2211,9.0,"13, 28, 37, 42, 48, 72, 75, 91, 96"
TJKTQK,2112,8.0,"22, 31, 34, 53, 56, 59, 82, 91"
TJKTKJ,2202,9.0,"24, 32, 33, 35, 45, 62, 81, 83, 99"
TJKTKK,2103,5.0,"15, 27, 31, 67, 99"
TJKJTJ,2301,8.0,"29, 41, 47, 83, 86, 89, 97, 98"
TJKJTK,2202,10.0,"12, 29, 33, 38, 48, 57, 74, 77, 83, 92"
TJKJJJ,1401,8.0,"13, 15, 25, 33, 34, 42, 48, 49"
TJKJJK,1302,9.0,"11, 13, 29, 37, 46, 47, 55, 58, 89"
TJKJQJ,1311,8.0,"15, 38, 39, 54, 59, 72, 87, 92"
TJKJQK,1212,6.0,"15, 24, 46, 57, 66, 79"
TJKJKJ,1302,10.0,"14, 46, 49, 58, 64, 71, 73, 76, 95, 98"
TJKJKK,1203,5.0,"26, 56, 63, 74, 93"
TJKQTJ,2211,7.0,"22, 34, 45, 64, 79, 94, 97"
TJKQTK,2112,4.0,"11, 58, 71, 88"
TJKQJJ,1311,8.0,"36, 38, 39, 66, 74, 77, 78, 84"
TJKQJK,1212,4.0,"16, 49, 75, 81"
TJKQQJ,1221,7.0,"11, 13, 16, 22, 49, 89, 92"
TJKQQK,1122,4.0,"14, 51, 54, 63"
TJKQKJ,1212,5.0,"21, 37, 52, 54, 87"
TJKQKK,1113,8.0,"35, 37, 52, 59, 85, 91, 94, 98"
